Translated_Tweet,Suicide
صنع بعض الغداء,Not Suicide post
أليكسيا تريد أمواله,Not Suicide post
 أن الهراء أخذني إلى الأبد لأجمع ، سأذهب للنوم لعدة أيام,Potential Suicide post 
  مهلا جير منذ أن بدأت تويتر,Not Suicide post
جربت مكتبة مؤهلات اقتباس مع نتائج مختلطة اعتقدت الرمز الشريطي أنني أردت إضافة حمالة صدر رياضية بدلاً من تطبيق رائع,Not Suicide post
  يا هذا جيد أن نسمع ولكن هل انتهى الأمر بالفعل أو ستواصله بعد الأسبوع المقدس,Not Suicide post
حصلت   على قائمة لزملائها  التي ستعين عليك مشاركتها ,Not Suicide post
جيك بول جيمس تشارلز لوغان بول فقط لأن شين صنع سلسلة عليك لا يعني أن الناس يأخذونك على محمل الجد ,Potential Suicide post 
حان الوقت لبعض حديقة البيرة وارسو تقشعر لها الأبدان,Not Suicide post
أنا أكره حياتي  أتمنى أن أموت قريبًا أو أن أكون قد سئمت من كل شيء,Potential Suicide post 
كل ما تفعله حبيبك من أجلك هو لبقائها كل ما تفعله والدتك من أجلك هو لبقائك,Not Suicide post
هناك قطة طائشة في الحرم الجامعي تشبه غارفيلد أن الطلاب يطعمونه دائمًا حتى يكون سمينًا جدًا مثلي,Not Suicide post
أثناء التنقل,Not Suicide post
لدي عادة فظيعة لتجنب كتابة الأوراق من خلال مشاهدة مقاطع الفيديو المباشرة على  للأطفال الذين اعتدت على مربية ,Potential Suicide post 
  حسنًا ، لدي المزيد ولكن لا يتعين علي فعل أي شيء سوى تقديم الباقي بعيدًا أو حذفها,Not Suicide post
   لك,Not Suicide post
يقول    إنني أريد أن أقول أنني لن أكون نشطًا مرة أخرى مرة أخرى ، لست متأكدًا تمامًا من أنني لا أملك أي سبب للوجود هنا بعد الآن على أي حال,Potential Suicide post 
ركز على الفرص أكثر مما تركز على المال,Not Suicide post
شخص ما من فضلك قتلني أنا في الحب ,Potential Suicide post 
أنا في مرحلة الفصل الدراسي حيث سئمت من كل شيء أريد فقط أن أتدحرج وأموت,Potential Suicide post 
 تريد أن تموت كثيرًا لا أريد أن أكون هنا بعد الآن,Potential Suicide post 
وأنا أكره حقيقة ما إذا كانت دوجي الحقيقية ستجري عملية جراحية يجب أن تتحمل الألم بمفردها دون    ,Potential Suicide post 
   عندما تتعب من العيش في حياتك ، كل ما يمكنك فعله هو إغلاق عينيك والذهاب إلى النوم,Potential Suicide post 
سأقتل نفسي الآن أنا آسف لأنك تشعر باليأس الشديد,Potential Suicide post 
استمتع بالاكتشاف المبكر ، لا يمكنني الدخول فيه هذا الموسم ، لكن سعيد بمعرفة أنك تحصل على أخدودك,Not Suicide post
  على السجادة جاهزة للذهاب إلى ,Not Suicide post
حقا فوكين أريد أن ينتهي هذا الجزء من حياتي,Potential Suicide post 
أنا جائع جدا لا يجرؤ أي شخص على الجدول الزمني على التحدث عن الطعام أو سيأكلك بجدية,Not Suicide post
اعتادت أمي دائمًا أن تريد الجميع إلى المنزل قبل حلول الظلام كما لو كان هناك أي شيء في الليل لم يكن هناك خلال النهار,Not Suicide post
غاليا أعتقد أنك ستفعل ما تريد,Not Suicide post
 يبدو فظيعًا للغاية ، وهذا ما كنت عليه عندما كان والدي لا يزال يعيش معني ولكن آمل أن يتحسن ذلك من أجل ,Potential Suicide post 
لا يوجد واحد فقط قبل بدء تشغيل جوائز الصابون,Not Suicide post
أجرى  محادثة مع  حول مدى اعتمادنا على الإنترنت والهواتف المحمولة في الوقت الحاضر,Not Suicide post
 أوه نعم كنت أقرأ ذلك,Not Suicide post
حياتي بائسة للغاية ولا تتحسن,Potential Suicide post 
  تقول إنني وقفت في ذلك الوقت إلى   خارج  أحبك,Not Suicide post
هي ليست متعبة,Not Suicide post
  كونها أم واحدة لم تكن أبدًا جزءًا من الخطة ولكني أستيقظ كل يوم وأقوم بأداء القرف الخاص بي,Potential Suicide post 
ولكن ما يسير فيه    و  في بلدة  الصغيرة التي ركلت جميع أبراج  الخاصة بنا  ,Potential Suicide post 
اريد مالا,Not Suicide post
 كيف كان الأمر كذلك ، فأنا أعرف ماذا أتوقع,Not Suicide post
   مهارات الطهي تعمل على تحسين الروائح جيدة جدًا,Not Suicide post
أحتاج إلى وضع نفسي للراحة ، لقد تحطمت دراجتي النارية اليوم ، لا أعرف كيف ، لكنني بخير في الغالب ، كانت أجمل لحظة في حياتي أعرف أنه من المريض أن أفكر في ذلك ، لكن كان من الجيد أن أرى الناس يقتربون مني للمساعدةأنا بعد التعطل ، فإن الشعور بجسدي يجري جره من خلال دراجتي لعدة أمتار على الأرض وأنا أنظر إلى السماء بينما كانت هذه الأغنية التي تم تشغيلها في أذنبي شعرت بالفراغ خلال السنوات الماضية لا أريد هذه الفرصة الثانية التي أريد الحصول عليهاعلى دراجتي المكسورة ، أحضرها إلى السرعة في المرة الأخيرة ، ثم انتهي كل ما لا أريد أن أغرقه بعد الآن من فضلك,Potential Suicide post 
   علمانية,Not Suicide post
سأكون في لندن اليوم موجة إذا رأيتني,Not Suicide post
 أنا أبحث عن  ثم كل شيء سيكون على ما يرام,Not Suicide post
 شكرًا لك ، اعتقدت أنه كان يمر حوله أتمنى لك يومًا رائعًا لوف أشياءك,Not Suicide post
أريد أن أموت ، لا أستحق قطعة من أي شيء لا أنتمي إليه في أي مكان ، لقد سئمت من كل شيء,Potential Suicide post 
أنا أكره عائلتي بأكملها ، كل ما يفعلونه هو جعلني أشعر بالدهون وإنني أشعر بالضيق بشأن جسدي و ,Potential Suicide post 
 أنا أحب مدونتك أيضًا,Not Suicide post
 آسف لخسارتك ، أعطاني هذا المنشور قمع الرعب لأنه على الرغم من أنني لم أفكر في الانتحار,Potential Suicide post 
   لقد بدأت شيئًا مع شيء  لم أفعله,Not Suicide post
كشك الصور هو الأسود والأبيض والطويقي القديم نحن نسميه هربرت لول أنا أحبه مثل أسطورة حية يجب أن أحب برلين ,Not Suicide post
إريكابيلي الذي كنا نبحث عنه,Not Suicide post
يريد قتلها,Not Suicide post
أنت تفهم ما الذي أفعله خطأ في حياتي,Potential Suicide post 
  أتمنى حقًا أن أكون هناك لإعطائك بعضًا من    يا هغاز الضخم والقبلات,Not Suicide post
أبحث عن مساعدة في اختبار  الجمبري مع الخيار ، كل ما يمكنني العثور عليه هو وصف الجمبري والخيار   ,Not Suicide post
 يجب أن يخبرهم أن أخته إصلاحها,Not Suicide post
